Symbol,Name,Exchange
ONE,01 Communique Laboratory Inc.,TSXV
EFF,1844 Resources Inc.,TSXV
AUMB,1911 Gold Corporation,TSXV
FNR,49 North Resources Inc.,TSXV
FIVD.P,5D Acquisition Corp.,TSXV
ALAB.P,A-Labs Capital II Corp.,TSXV
ALCC.P,A-Labs Capital IV Corp.,TSXV
AIS,A.I.S. Resources Limited,TSXV
AZC.P,A2ZCryptocap Inc.,TSXV
AAAJ.P,AAJ Capital 3 Corp.,TSXV
ACCB.P,Aardvark 2 Capital Corp.,TSXV
AME,Abacus Mining & Exploration Corporation,TSXV
ABA,Abasca Resources Inc.,TSXV
ABI,Abcourt Mines Inc.,TSXV
ABM,Aben Minerals Ltd.,TSXV
ABRA,AbraSilver Resource Corp.,TSXV
AXE,Acceleware Ltd.,TSXV
AKR,Ackroo Inc.,TSXV
ADJ.P,AD4 Capital Corp.,TSXV
ADZ,Adamera Minerals Corp.,TSXV
ADE,Adex Mining Inc.,TSXV
AWI,Advent-AWI Holdings Inc.,TSXV
ADZN,Adventus Mining Corporation,TSXV
ADYA,ADYA Inc.,TSXV
ADY,Adyton Resources Corporation,TSXV
AQS,Aequus Pharmaceuticals Inc.,TSXV
AERO,Aero Energy Limited,TSXV
AF.P,AF2 Capital Corp.,TSXV
AFR,AFR NuVenture Resources Inc.,TSXV
AFE,Africa Energy Corp.,TSXV
CUCO,African Energy Metals Inc.,TSXV
AAG,Aftermath Silver Ltd.,TSXV
AGET,AGEDB Technology Ltd.,TSXV
AIVC,AI Artificial Intelligence Ventures Inc.,TSXV
AIME.P,AIM5 Ventures Inc.,TSXV
AIMF.P,AIM6 Ventures Inc.,TSXV
AIP.U,AIP Realty Trust,TSXV
IQ,AirIQ Inc.,TSXV
AISX,Aisix Solutions Inc.,TSXV
AML,Akwaaba Mining Ltd.,TSXV
AEMC,Alaska Energy Metals Corporation,TSXV
ALBT.P,Albatros Acquisition Corporation Inc.,TSXV
ALDD.P,ALDD Ventures Corp.,TSXV
ALDE,Aldebaran Resources Inc.,TSXV
AUAU,Allegiant Gold Ltd.,TSXV
ALM,Alliance Mining Corp.,TSXV
DEX,Almadex Minerals Ltd.,TSXV
AORO,Aloro Mining Corp.,TSXV
ALEX,Alpha Exploration Ltd.,TSXV
AFM,Alphamin Resources Corp.,TSXV
KSUM,Alset Capital Inc.,TSXV
ATI,Altai Resources Inc.,TSXV
AVX,Altair Resources Inc.,TSXV
ALTA,Altamira Gold Corp.,TSXV
ALTR.P,Alterego Ventures 24 Corp.,TSXV
ARH,Altima Resources Ltd.,TSXV
ALTN.P,Altina Capital Corp.,TSXV
APN,Altiplano Metals Inc.,TSXV
ALT,Alturas Minerals Corp.,TSXV
AUUA,Aluula Composites Inc.,TSXV
ALV,Alvopetro Energy Ltd.,TSXV
AL,ALX Resources Corp.,TSXV
AHR,Amarc Resources Ltd.,TSXV
AMRQ,Amaroq Minerals Ltd.,TSXV
AMYA.P,Amaya Big Sky Capital Corp.,TSXV
MEGO.P,Amego Capital Corp.,TSXV
AMK,American Creek Resources Ltd.,TSXV
AE,American Eagle Gold Corp.,TSXV
LI,American Lithium Corp.,TSXV
AMX,Amex Exploration Inc.,TSXV
AMG.P,AMG Acquisition Corp,TSXV
ALY,AnalytixInsight Inc.,TSXV
APM,Andean Precious Metals Corp.,TSXV
